<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;D;26.10.21;0;5415.6000000;5432.0000000;5283.8000000;5309.6000000;440939
YNDX;D;27.10.21;0;5315.0000000;5628.6000000;5241.4000000;5573.8000000;1334260
YNDX;D;28.10.21;0;5558.0000000;5872.4000000;5542.0000000;5823.0000000;1468815
YNDX;D;29.10.21;0;5808.0000000;5913.6000000;5742.0000000;5879.2000000;1104111
YNDX;D;01.11.21;0;5868.8000000;5947.4000000;5767.0000000;5890.0000000;575423
YNDX;D;02.11.21;0;5891.0000000;5974.0000000;5866.2000000;5942.4000000;434415
YNDX;D;03.11.21;0;5939.6000000;6046.6000000;5880.2000000;6027.0000000;552118
YNDX;D;05.11.21;0;6027.0000000;6145.0000000;5964.2000000;6120.0000000;794367
YNDX;D;08.11.21;0;6148.0000000;6217.0000000;6080.0000000;6161.0000000;625313
YNDX;D;09.11.21;0;6148.8000000;6188.0000000;5981.2000000;5990.4000000;474570
YNDX;D;10.11.21;0;5991.0000000;6057.0000000;5847.0000000;5857.8000000;554560
YNDX;D;11.11.21;0;5884.8000000;6024.8000000;5843.2000000;5966.6000000;457431
YNDX;D;12.11.21;0;5967.0000000;6023.8000000;5835.6000000;5970.2000000;870653
YNDX;D;15.11.21;0;5970.0000000;6045.6000000;5894.0000000;5928.4000000;498364
YNDX;D;16.11.21;0;5926.8000000;5962.0000000;5875.8000000;5936.4000000;391602
YNDX;D;17.11.21;0;5930.2000000;5957.6000000;5870.2000000;5931.6000000;317165
YNDX;D;18.11.21;0;5925.0000000;5995.8000000;5894.4000000;5993.8000000;323139
YNDX;D;19.11.21;0;6000.0000000;6150.0000000;5916.0000000;5968.8000000;668218
YNDX;D;22.11.21;0;5982.6000000;6048.6000000;5339.8000000;5450.0000000;2336930
YNDX;D;23.11.21;0;5430.0000000;5659.8000000;5372.0000000;5571.0000000;1531834
YNDX;D;24.11.21;0;5593.6000000;5640.0000000;5435.0000000;5542.2000000;1007009
YNDX;D;25.11.21;0;5565.0000000;5639.8000000;5526.2000000;5552.8000000;339351
YNDX;D;26.11.21;0;5416.0000000;5530.2000000;5316.2000000;5380.0000000;1248733
YNDX;D;29.11.21;0;5396.2000000;5529.0000000;5333.0000000;5407.0000000;1150358
YNDX;D;30.11.21;0;5353.0000000;5510.0000000;5261.2000000;5359.4000000;1632445
YNDX;D;01.12.21;0;5412.0000000;5458.6000000;5330.0000000;5330.8000000;616813
YNDX;D;02.12.21;0;5338.4000000;5412.6000000;5185.0000000;5255.0000000;954482
YNDX;D;03.12.21;0;5255.6000000;5283.0000000;5073.0000000;5100.6000000;880048
YNDX;D;06.12.21;0;5115.0000000;5169.0000000;4905.0000000;5068.0000000;820348
YNDX;D;07.12.21;0;5080.0000000;5178.0000000;4983.2000000;4992.0000000;978799
YNDX;D;08.12.21;0;5016.0000000;5071.2000000;4775.0000000;4932.2000000;1047121
YNDX;D;09.12.21;0;4940.0000000;5013.2000000;4825.0000000;4853.6000000;897646
YNDX;D;10.12.21;0;4864.0000000;4887.0000000;4650.0000000;4664.0000000;1103320
YNDX;D;13.12.21;0;4675.0000000;4728.8000000;4505.0000000;4560.0000000;1414380
YNDX;D;14.12.21;0;4559.8000000;4675.0000000;4237.2000000;4586.4000000;1153004
YNDX;D;15.12.21;0;4597.4000000;4619.0000000;4462.0000000;4511.6000000;826761
YNDX;D;16.12.21;0;4526.0000000;4810.4000000;4505.6000000;4609.6000000;1817718
YNDX;D;17.12.21;0;4610.0000000;4700.6000000;4541.0000000;4630.2000000;1105894
YNDX;D;20.12.21;0;4598.0000000;4649.4000000;4471.2000000;4474.8000000;771984
YNDX;D;21.12.21;0;4490.0000000;4603.6000000;4480.4000000;4578.8000000;629884
YNDX;D;22.12.21;0;4621.0000000;4650.2000000;4488.0000000;4488.4000000;916480
YNDX;D;23.12.21;0;4500.0000000;4539.6000000;4366.0000000;4410.6000000;801704
YNDX;D;24.12.21;0;4425.6000000;4449.0000000;4325.8000000;4424.8000000;553474
YNDX;D;27.12.21;0;4428.0000000;4500.0000000;4427.0000000;4467.8000000;597408
YNDX;D;28.12.21;0;4475.0000000;4535.0000000;4457.6000000;4482.0000000;697962
YNDX;D;29.12.21;0;4482.2000000;4528.6000000;4380.0000000;4418.8000000;887117
YNDX;D;30.12.21;0;4426.6000000;4584.6000000;4409.6000000;4569.4000000;755485
YNDX;D;03.01.22;0;4570.0000000;4631.8000000;4503.2000000;4515.2000000;848647
YNDX;D;04.01.22;0;4525.8000000;4577.0000000;4413.0000000;4479.8000000;906790
YNDX;D;05.01.22;0;4477.0000000;4477.0000000;4270.0000000;4275.0000000;990732
YNDX;D;06.01.22;0;4275.0000000;4374.2000000;4206.2000000;4226.6000000;1177922
YNDX;D;10.01.22;0;4194.0000000;4262.4000000;4061.4000000;4196.4000000;1491994
YNDX;D;11.01.22;0;4217.2000000;4398.6000000;4177.8000000;4338.2000000;1677241
YNDX;D;12.01.22;0;4355.0000000;4464.8000000;4330.0000000;4393.2000000;1487477
YNDX;D;13.01.22;0;4393.0000000;4450.0000000;4150.0000000;4168.0000000;1978967
YNDX;D;14.01.22;0;4175.2000000;4250.0000000;3726.0000000;3938.6000000;3328471
YNDX;D;17.01.22;0;3953.2000000;4088.8000000;3875.0000000;4075.6000000;1906402
YNDX;D;18.01.22;0;4084.6000000;4115.6000000;3739.0000000;3769.0000000;2665731
YNDX;D;19.01.22;0;3770.2000000;3968.6000000;3570.0000000;3701.8000000;3633679
YNDX;D;20.01.22;0;3705.0000000;3860.0000000;3665.0000000;3669.2000000;2675018
YNDX;D;21.01.22;0;3650.8000000;3748.2000000;3475.2000000;3490.0000000;2983581
YNDX;D;24.01.22;0;3495.0000000;3550.0000000;3094.8000000;3345.0000000;4851065
YNDX;D;25.01.22;0;3325.2000000;3477.0000000;3225.0000000;3409.2000000;3461723
YNDX;D;26.01.22;0;3424.0000000;3563.8000000;3314.4000000;3364.8000000;3250109
YNDX;D;27.01.22;0;3320.0000000;3595.0000000;3276.0000000;3405.2000000;4035166
YNDX;D;28.01.22;0;3421.0000000;3525.0000000;3371.6000000;3448.4000000;3395043
